episode	perf
207	0.142371
208	0.143024
209	0.143663
210	0.144289
211	0.144903
212	0.145505
213	0.146094
214	0.146672
215	0.147238
216	0.147793
217	0.148337
218	0.14887
219	0.149392
220	0.149904
221	0.150406
222	0.150897
223	0.147869
224	0.14591
225	0.14399
226	0.142108
227	0.140264
228	0.138457
229	0.136686
230	0.13495
231	0.133249
232	0.131582
233	0.129949
234	0.128348
235	0.126779
236	0.125242
237	0.126237
238	0.12683
239	0.127412
240	0.125277
241	0.126271
242	0.123745
243	0.124389
244	0.125019
245	0.125637
246	0.126243
247	0.126837
248	0.127418
249	0.127988
250	0.128547
251	0.129094
252	0.129631
253	0.130156
254	0.130672
255	0.131177
256	0.131671
257	0.132156
258	0.132632
259	0.129969
260	0.128368
261	0.126799
262	0.125261
263	0.123754
264	0.122277
265	0.12083
266	0.119411
267	0.118021
268	0.116659
269	0.115324
270	0.114015
271	0.112733
272	0.111477
273	0.110245
274	0.109038
275	0.107856
276	0.106697
277	0.108063
278	0.109401
279	0.110713
280	0.111998
281	0.113258
282	0.110671
283	0.111576
284	0.112463
285	0.113332
286	0.114183
287	0.115018
288	0.115836
289	0.116638
290	0.117423
291	0.118193
292	0.118948
293	0.119687
294	0.116931
295	0.117711
296	0.118475
297	0.119224
298	0.119958
299	0.120677
300	0.121382
301	0.122072
302	0.122749
303	0.123413
304	0.124063
305	0.1247
306	0.125706
307	0.126691
308	0.127657
309	0.128604
310	0.12599
311	0.12697
312	0.12793
313	0.128871
314	0.129793
315	0.130697
316	0.131583
317	0.132451
318	0.133302
319	0.131634
320	0.129999
321	0.128397
322	0.126827
323	0.124291
324	0.124923
325	0.125543
326	0.126151
327	0.126746
328	0.12733
329	0.127901
330	0.128462
331	0.125935
332	0.126916
333	0.127878
334	0.12882
335	0.129743
336	0.130648
337	0.131534
338	0.132403
339	0.133255
340	0.13409
341	0.134908
342	0.135709
343	0.136495
344	0.137264
345	0.138019
346	0.138758
347	0.139483
348	0.140193
349	0.140888
350	0.14157
351	0.137391
352	0.138143
353	0.138879
354	0.137458
355	0.137953
356	0.138438
357	0.136485
358	0.135537
359	0.133643
360	0.131058
361	0.131681
362	0.132291
363	0.132889
364	0.133475
365	0.134049
366	0.134612
367	0.135164
368	0.135704
369	0.136234
370	0.136753
371	0.137262
372	0.13776
373	0.138249
374	0.138727
375	0.139197
376	0.139656
377	0.136863
378	0.137066
379	0.137265
380	0.13746
381	0.137955
382	0.138439
383	0.138914
384	0.136195
385	0.134728
386	0.131975
387	0.130066
388	0.128195
389	0.126362
390	0.124565
391	0.122805
392	0.121079
393	0.119388
394	0.117731
395	0.116107
396	0.114516
397	0.112956
398	0.111427
399	0.109929
400	0.110671
401	0.11063
402	0.109148
403	0.107696
404	0.106272
405	0.104878
406	0.103511
407	0.102171
408	0.100858
409	0.099572
410	0.100824
411	0.102051
412	0.103254
413	0.104433
414	0.105588
415	0.10672
416	0.106571
417	0.10517
418	0.103798
419	0.102452
420	0.101134
421	0.099842
422	0.098575
423	0.097335
424	0.096118
425	0.094927
426	0.093028
427	0.091168
428	0.092588
429	0.09398
430	0.095344
431	0.096681
432	0.097991
433	0.096762
434	0.098071
435	0.099353
436	0.10061
437	0.101841
438	0.103048
439	0.100987
440	0.099698
441	0.098435
442	0.097197
443	0.095983
444	0.094794
445	0.093629
446	0.094697
447	0.095743
448	0.096768
449	0.097773
450	0.097136
451	0.098437
452	0.099712
453	0.098958
454	0.100222
455	0.097677
456	0.098967
457	0.100231
458	0.101471
459	0.102685
460	0.103875
461	0.104738
462	0.105583
463	0.106412
464	0.107224
465	0.10802
466	0.108799
467	0.109564
468	0.110313
469	0.111047
470	0.111766
471	0.112471
472	0.113162
473	0.113839
474	0.111205
475	0.112224
476	0.113223
477	0.114203
478	0.115162
479	0.116103
480	0.117025
