episode	max-perf
207	0.170835
208	0.170918
209	0.171
210	0.171079
211	0.171157
212	0.171234
213	0.171309
214	0.171382
215	0.171454
216	0.171525
217	0.171594
218	0.171662
219	0.171728
220	0.171794
221	0.171857
222	0.17192
223	0.171981
224	0.172041
225	0.1721
226	0.172158
227	0.172214
228	0.17227
229	0.172324
230	0.172377
231	0.172429
232	0.169979
233	0.167577
234	0.165224
235	0.162918
236	0.160657
237	0.160944
238	0.161225
239	0.1615
240	0.16177
241	0.162034
242	0.162293
243	0.162547
244	0.162795
245	0.163039
246	0.163278
247	0.163512
248	0.163742
249	0.163966
250	0.164187
251	0.164021
252	0.163859
253	0.1637
254	0.163545
255	0.163392
256	0.163243
257	0.163096
258	0.162953
259	0.162812
260	0.162674
261	0.162539
262	0.162407
263	0.162277
264	0.16215
265	0.162025
266	0.161903
267	0.161783
268	0.159546
269	0.157353
270	0.155204
271	0.153098
272	0.151034
273	0.149012
274	0.14703
275	0.145087
276	0.143183
277	0.143819
278	0.144443
279	0.145054
280	0.145652
281	0.146239
282	0.146814
283	0.147377
284	0.147929
285	0.14847
286	0.149001
287	0.14952
288	0.15003
289	0.150529
290	0.151018
291	0.151116
292	0.151212
293	0.151306
294	0.151398
295	0.151489
296	0.151577
297	0.151664
298	0.151749
299	0.151832
300	0.151914
301	0.151994
302	0.152073
303	0.15215
304	0.152225
305	0.152299
306	0.152753
307	0.153197
308	0.153633
309	0.15406
310	0.154478
311	0.154888
312	0.15529
313	0.155684
314	0.15607
315	0.156448
316	0.156819
317	0.157182
318	0.157539
319	0.157887
320	0.158229
321	0.158564
322	0.158893
323	0.159215
324	0.15953
325	0.159839
326	0.160142
327	0.160439
328	0.160348
329	0.16026
330	0.160173
331	0.160088
332	0.160386
333	0.160678
334	0.160964
335	0.161244
336	0.161519
337	0.161788
338	0.162052
339	0.162311
340	0.162564
341	0.162813
342	0.163056
343	0.163295
344	0.163528
345	0.163758
346	0.163982
347	0.164202
348	0.164418
349	0.164629
350	0.164836
351	0.165039
352	0.165238
353	0.165433
354	0.165624
355	0.165811
356	0.165995
357	0.166174
358	0.166351
359	0.166523
360	0.166692
361	0.166858
362	0.167021
363	0.166924
364	0.166829
365	0.166737
366	0.166646
367	0.166556
368	0.166469
369	0.166383
370	0.166299
371	0.166217
372	0.166137
373	0.166058
374	0.16598
375	0.165904
376	0.16583
377	0.165757
378	0.165686
379	0.165616
380	0.165547
381	0.16548
382	0.165414
383	0.16535
384	0.165287
385	0.165225
386	0.165164
387	0.165104
388	0.165046
389	0.164989
390	0.164933
391	0.164878
392	0.164824
393	0.162785
394	0.160786
395	0.158301
396	0.155866
397	0.153479
398	0.15114
399	0.148848
400	0.148811
401	0.148775
402	0.14874
403	0.148705
404	0.148671
405	0.148638
406	0.148606
407	0.148574
408	0.148543
409	0.148512
410	0.148786
411	0.149054
412	0.149316
413	0.149574
414	0.149826
415	0.150073
416	0.150316
417	0.150553
418	0.150786
419	0.151014
420	0.151237
421	0.151456
422	0.151671
423	0.151881
424	0.152087
425	0.151031
426	0.148741
427	0.146497
428	0.146811
429	0.147118
430	0.14742
431	0.147715
432	0.148005
433	0.148288
434	0.148566
435	0.148839
436	0.149106
437	0.149367
438	0.149624
439	0.149875
440	0.150121
441	0.150363
442	0.150599
443	0.150831
444	0.151058
445	0.151281
446	0.151499
447	0.151713
448	0.151619
449	0.151526
450	0.151436
451	0.151651
452	0.151862
453	0.152068
454	0.152271
455	0.152469
456	0.152664
457	0.152854
458	0.153041
459	0.153224
460	0.153403
461	0.153579
462	0.153751
463	0.15392
464	0.154085
465	0.154247
466	0.154406
467	0.154561
468	0.154714
469	0.154863
470	0.154706
471	0.154553
472	0.154402
473	0.154254
474	0.154109
475	0.154271
476	0.154429
477	0.154584
478	0.154736
479	0.154885
480	0.155031
