episode	max-power
203	0.556245
204	0.56175
205	0.567145
206	0.572432
207	0.577613
208	0.58269
209	0.587666
210	0.592542
211	0.597321
212	0.601815
213	0.589823
214	0.578071
215	0.566554
216	0.555267
217	0.544205
218	0.533365
219	0.522742
220	0.512331
221	0.502129
222	0.49213
223	0.498673
224	0.505084
225	0.511368
226	0.517525
227	0.52356
228	0.529473
229	0.535269
230	0.540948
231	0.546514
232	0.551969
233	0.545422
234	0.539006
235	0.532718
236	0.526555
237	0.520516
238	0.514598
239	0.508798
240	0.515388
241	0.521845
242	0.528173
243	0.534375
244	0.540452
245	0.546408
246	0.552245
247	0.557965
248	0.563571
249	0.569065
250	0.573683
251	0.57821
252	0.56669
253	0.5554
254	0.544336
255	0.533493
256	0.522868
257	0.512454
258	0.502249
259	0.508677
260	0.514976
261	0.521149
262	0.527199
263	0.533127
264	0.538937
265	0.544631
266	0.550211
267	0.555679
268	0.561038
269	0.55431
270	0.547716
271	0.541253
272	0.53492
273	0.528714
274	0.522632
275	0.516672
276	0.51083
277	0.505106
278	0.499496
279	0.493998
280	0.48861
281	0.48333
282	0.489298
283	0.495146
284	0.500877
285	0.506494
286	0.511998
287	0.517393
288	0.522679
289	0.52786
290	0.532937
291	0.537912
292	0.527198
293	0.516698
294	0.522822
295	0.528823
296	0.534704
297	0.540468
298	0.546116
299	0.551652
300	0.557076
301	0.562393
302	0.567602
303	0.572708
304	0.561298
305	0.550116
306	0.539158
307	0.528419
308	0.517895
309	0.507581
310	0.513242
311	0.51879
312	0.524227
313	0.529555
314	0.534777
315	0.539894
316	0.544909
317	0.549824
318	0.55464
319	0.55936
320	0.552665
321	0.546104
322	0.539674
323	0.54488
324	0.549983
325	0.554983
326	0.559883
327	0.564686
328	0.569392
329	0.574004
330	0.578524
331	0.583397
332	0.588172
333	0.592852
334	0.597438
335	0.601932
336	0.606337
337	0.610653
338	0.614883
339	0.619029
340	0.623091
341	0.610673
342	0.598504
343	0.586578
344	0.574891
345	0.563437
346	0.552212
347	0.541212
348	0.530432
349	0.519868
350	0.509514
351	0.516645
352	0.523632
353	0.53048
354	0.537191
355	0.543768
356	0.550213
357	0.55653
358	0.56272
359	0.568786
360	0.574731
361	0.579252
362	0.583683
363	0.588025
364	0.592281
365	0.596451
366	0.600538
367	0.604543
368	0.608469
369	0.612315
370	0.599364
371	0.586671
372	0.574233
373	0.562043
374	0.550097
375	0.53839
376	0.526917
377	0.532378
378	0.537731
379	0.542976
380	0.548117
381	0.553154
382	0.558091
383	0.562929
384	0.567671
385	0.572317
386	0.576871
387	0.581334
388	0.585707
389	0.589993
390	0.594193
391	0.598309
392	0.602343
393	0.606296
394	0.61017
395	0.613967
396	0.601358
397	0.589001
398	0.576891
399	0.565023
400	0.553393
401	0.559331
402	0.56515
403	0.570853
404	0.576442
405	0.581919
406	0.587286
407	0.592547
408	0.597702
409	0.602753
410	0.607704
411	0.59522
412	0.582986
413	0.570997
414	0.559247
415	0.547732
416	0.553544
417	0.559239
418	0.56482
419	0.570289
420	0.57565
421	0.580903
422	0.586051
423	0.591095
424	0.59604
425	0.600885
426	0.604867
427	0.60877
428	0.612594
429	0.616342
430	0.620016
431	0.623615
432	0.627143
433	0.6306
434	0.633988
435	0.637308
436	0.640562
437	0.627421
438	0.614543
439	0.618252
440	0.621887
441	0.625449
442	0.62894
443	0.632362
444	0.635714
445	0.639
446	0.64222
447	0.645376
448	0.648468
449	0.635169
450	0.63892
451	0.642595
452	0.646197
453	0.649727
454	0.653187
455	0.656577
456	0.659899
457	0.663155
458	0.666346
459	0.669473
460	0.672083
461	0.674642
462	0.677149
463	0.679606
464	0.682014
465	0.667668
466	0.65361
467	0.639832
468	0.626331
469	0.613099
470	0.600132
471	0.587424
472	0.57497
473	0.562766
474	0.568477
475	0.574074
476	0.579559
477	0.584934
478	0.590202
479	0.595365
480	0.600424
