episode	mean-perf
207	0.142687
208	0.14262
209	0.142554
210	0.142489
211	0.142425
212	0.142707
213	0.143353
214	0.143985
215	0.144605
216	0.145213
217	0.145808
218	0.146392
219	0.146964
220	0.147524
221	0.148073
222	0.148611
223	0.148788
224	0.148711
225	0.148385
226	0.147815
227	0.147007
228	0.145965
229	0.144693
230	0.143197
231	0.14148
232	0.139548
233	0.137755
234	0.135998
235	0.134276
236	0.132589
237	0.131185
238	0.130022
239	0.129094
240	0.128126
241	0.127427
242	0.126643
243	0.126086
244	0.125753
245	0.125638
246	0.125737
247	0.125797
248	0.125855
249	0.125912
250	0.126238
251	0.12652
252	0.127108
253	0.127684
254	0.128249
255	0.128802
256	0.129345
257	0.129876
258	0.130397
259	0.130595
260	0.130576
261	0.130346
262	0.129909
263	0.129268
264	0.128428
265	0.127393
266	0.126167
267	0.124753
268	0.123155
269	0.12169
270	0.120254
271	0.118847
272	0.117469
273	0.116117
274	0.114793
275	0.113495
276	0.112224
277	0.111227
278	0.110501
279	0.11004
280	0.109838
281	0.10989
282	0.109809
283	0.109942
284	0.110284
285	0.110831
286	0.11158
287	0.112275
288	0.112918
289	0.11351
290	0.114053
291	0.114546
292	0.115373
293	0.116184
294	0.116631
295	0.117069
296	0.117497
297	0.117918
298	0.11833
299	0.118733
300	0.119129
301	0.119517
302	0.119897
303	0.120269
304	0.120982
305	0.121681
306	0.122404
307	0.12315
308	0.12392
309	0.124712
310	0.125173
311	0.125663
312	0.126181
313	0.126726
314	0.127299
315	0.127899
316	0.128486
317	0.129062
318	0.129626
319	0.129929
320	0.13033
321	0.130473
322	0.130362
323	0.129904
324	0.129417
325	0.128901
326	0.128358
327	0.127787
328	0.12719
329	0.126817
330	0.126663
331	0.126417
332	0.126425
333	0.126784
334	0.127173
335	0.127593
336	0.128043
337	0.128522
338	0.129029
339	0.129564
340	0.130127
341	0.131024
342	0.131903
343	0.132765
344	0.133609
345	0.134437
346	0.135248
347	0.136042
348	0.136821
349	0.137584
350	0.138332
351	0.138581
352	0.138824
353	0.139062
354	0.139082
355	0.139075
356	0.139043
357	0.138743
358	0.138278
359	0.137553
360	0.136502
361	0.135931
362	0.135346
363	0.134746
364	0.134348
365	0.133958
366	0.133575
367	0.133443
368	0.133459
369	0.133718
370	0.134288
371	0.134846
372	0.135393
373	0.135929
374	0.136454
375	0.136968
376	0.137473
377	0.137643
378	0.137779
379	0.137882
380	0.137953
381	0.138022
382	0.13809
383	0.138156
384	0.137903
385	0.137456
386	0.136688
387	0.136008
388	0.135121
389	0.134031
390	0.132741
391	0.131226
392	0.12949
393	0.127538
394	0.125691
395	0.123829
396	0.122083
397	0.120372
398	0.118695
399	0.117052
400	0.115662
401	0.114445
402	0.113252
403	0.112082
404	0.110937
405	0.109814
406	0.108713
407	0.107634
408	0.106578
409	0.105542
410	0.104557
411	0.103699
412	0.10311
413	0.102783
414	0.102715
415	0.102899
416	0.103205
417	0.103505
418	0.103799
419	0.104087
420	0.104118
421	0.103897
422	0.103429
423	0.102719
424	0.101772
425	0.100593
426	0.099239
427	0.097838
428	0.096717
429	0.09587
430	0.095291
431	0.094975
432	0.094917
433	0.094859
434	0.095055
435	0.095497
436	0.096255
437	0.097323
438	0.098369
439	0.099069
440	0.099505
441	0.09968
442	0.099601
443	0.099523
444	0.099195
445	0.098623
446	0.098031
447	0.097422
448	0.096794
449	0.096472
450	0.096216
451	0.096216
452	0.096468
453	0.096765
454	0.097308
455	0.097713
456	0.09814
457	0.098589
458	0.099059
459	0.09955
460	0.100224
461	0.100854
462	0.101441
463	0.102186
464	0.102887
465	0.103921
466	0.104904
467	0.105837
468	0.106722
469	0.107558
470	0.108347
471	0.10912
472	0.109878
473	0.110621
474	0.111019
475	0.111439
476	0.111882
477	0.112345
478	0.11283
479	0.113336
480	0.113862
